ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates
MX-0021;small_airport;Todos Santos Airstrip;432;NA;MX;MX-BCS;Todos Santos;;;TSN;"-110.201944; 23.498333"
MX-0022;small_airport;Rancho El Caracol Airfield;238;NA;MX;MX-BCS;Rancho El Caracol;;;ROL;"-113.329722; 27.515833"
MX-0023;closed;Rancho ChÃ¡vez Airstrip;68;NA;MX;MX-BCS;MulegÃ©;;;;"-112.052222; 26.895556"
MX-0024;small_airport;Rancho Las Cruces Airstrip;31;NA;MX;MX-BCS;Rancho Las Cruces Resort;;;LCS;"-110.084722; 24.206667"
MX-0025;small_airport;RÃ­o de Agua de Vida Airstrip;338;NA;MX;MX-BCS;La PurÃ­sima;;;;"-112.114167; 26.1775"
MX-0026;small_airport;Palo Blanco Airstrip;819;NA;MX;MX-BCS;La PurÃ­sima;;;ENW;"-112.106667; 26.148333"
MX-0027;small_airport;San Marcos Airstrip;66;NA;MX;MX-BCS;Isla San Marcos;;;ISM;"-112.07; 27.1875"
MX-0028;small_airport;San Lucas Military Airstrip;9;NA;MX;MX-BCS;Santa RosalÃ­a;;;;"-112.218034; 27.208757"
MX-0029;small_airport;Puerto CortÃ©s Airstrip;6;NA;MX;MX-BCS;Puerto CortÃ©s;;;;"-111.8258; 24.475"
MX-0030;small_airport;Santa MarÃ­a de MulegÃ© Airport;29;NA;MX;MX-BCS;Santa RosalÃ­a;;;SMM;"-112.305336; 27.394079"
MX-0031;closed;San Juanico Airstrip;69;NA;MX;MX-BCS;San Juanico;;;;"-112.486111; 26.260833"
MX-0032;small_airport;Punta Arena Airstrip;31;NA;MX;MX-BCS;San Juan de los Planes;;;LAR;"-109.837501; 24.026944"
MX-0033;small_airport;Real del Castillo Airstrip;2500;NA;MX;MX-BCN;Ojos Negros;;;;"-116.1994; 31.8809"
MX-0034;small_airport;Punta Final Airstrip;20;NA;MX;MX-BCN;Punta Final;;;PFL;"-114.31228; 29.73536"
MX-0035;small_airport;Punta Prieta Airstrip;680;NA;MX;MX-BCN;Punta Prieta;;;;"-114.1516; 28.9217"
MX-0036;small_airport;Punta San Carlos Airstrip;55;NA;MX;MX-BCN;Punta San Carlos;;;PSK;"-115.5028; 29.6194"
MX-0037;closed;Tecate Airport;2025;NA;MX;MX-BCN;Tecate;;;;"-116.6386; 32.5408"
MX-0038;small_airport;Isla MarÃ­a Airport;;NA;MX;MX-NAY;;;;;"-106.53817; 21.65023"
MX-0039;small_airport;Puerto Adolfo LÃ³pez Mateos Airstrip;6;NA;MX;MX-BCS;ComondÃº;;;MTB;"-112.11385; 25.19709"
MX-0040;small_airport;Santa Cruz Airfield;3038;NA;MX;MX-GRO;Huamuxtitlan;;;SHX;"-98.576988; 17.768944"
